MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1278313	Coch	cochlin	12		extracellular matrix	is a part of spleen,is a part of follicular dendritic cell	PR:000037260	IDA		J:203149 	
MGI:1278313	Coch	cochlin	12		extracellular matrix	is a part of spleen,is a part of follicular dendritic cell	PR:000037263	IDA		J:203149 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer			IBA	PTN001166556 	J:265628 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer	is a part of tooth		IDA		J:19003 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer	is a part of dermis connective tissue,is a part of dermis connective tissue		IMP	MGI:1857154 	J:26504 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen type I trimer			ISO	P02452 	J:164563 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen-containing extracellular matrix	is a part of CL:0000057		HDA		J:213088 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen-containing extracellular matrix	is a part of EMAPA:16728|is a part of EMAPA:18939		HDA		J:265604 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		collagen-containing extracellular matrix	is a part of EMAPA:32927		HDA		J:265607 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix	is a part of lung		IDA		J:32939 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix	is a part of mammary gland epithelium,is a part of mammary gland epithelium		IDA		J:28286 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix	is a part of heart valve|is a part of left ventricle cardiac muscle|is a part of right ventricle cardiac muscle		IDA		J:116643 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix	is a part of palatal shelf epithelium|is a part of cardiovascular system|is a part of palatal shelf		IDA		J:30059 	
